,code
1403,600202
1404,600379
1405,600405
1406,600468
1407,600482
1408,600560
1409,600577
1410,600847
1411,600885
1412,601311
1413,601616
1414,603015
1415,603606
1416,603703
1417,603988
1418,000049
1419,000922
1420,002164
1421,002176
1422,002249
1423,002266
1424,002298
1425,002309
1426,002322
1427,002334
1428,002335
1429,002339
1430,002364
1431,002380
1432,002452
1433,002546
1434,002576
1435,002580
1436,002606
1437,002617
1438,002647
1439,002664
1440,002665
1441,002670
1442,002684
1443,002706
1444,002730
1445,002733
1446,300068
1447,300140
1448,300217
1449,300222
1450,300252
1451,300265
1452,300274
1453,300283
1454,300356
1455,300376
1456,300403
1457,300407
1458,300438
1459,300447
1460,600037
1461,600088
1462,600234
1463,600373
1464,600551
1465,600633
1466,600637
1467,600757
1468,600825
1469,600831
1470,600959
1471,601098
1472,601801
1473,601928
1474,601929
1475,601999
1476,000156
1477,000504
1478,000607
1479,000665
1480,000719
1481,000793
1482,000835
1483,000917
1484,002071
1485,002143
1486,002181
1487,002238
1488,002292
1489,002624
1490,002712
1491,002739
1492,300027
1493,300133
1494,300148
1495,300251
1496,300291
1497,300336
1498,300364
1499,300426
1500,600075
1501,600078
1502,600091
1503,600135
1504,600141
1505,600155
1506,600160
1507,600228
1508,600229
1509,600249
1510,600273
1511,600277
1512,600281
1513,600299
1514,600301
1515,600309
1516,600315
1517,600319
1518,600328
1519,600339
1520,600352
1521,600367
1522,600378
1523,600409
1524,600481
1525,600490
1526,600599
1527,600618
1528,600636
1529,600722
1530,600746
1531,600844
1532,600985
1533,601118
1534,601208
1535,601216
1536,601678
1537,603002
1538,603010
1539,603077
1540,603188
1541,000510
1542,000523
1543,000545
1544,000565
1545,000627
1546,000635
1547,000662
1548,000683
1549,000698
1550,000707
1551,000737
1552,000755
1553,000818
1554,000822
1555,000887
1556,000985
1557,000990
1558,002010
1559,002014
1560,002037
1561,002053
1562,002054
1563,002061
1564,002068
1565,002092
1566,002094
1567,002096
1568,002109
1569,002125
1570,002136
1571,002145
1572,002165
1573,002192
1574,002201
1575,002211
1576,002217
1577,002224
1578,002226
1579,002246
1580,002250
1581,002256
1582,002319
1583,002326
1584,002341
1585,002360
1586,002361
1587,002377
1588,002381
1589,002386
1590,002395
1591,002407
1592,002408
1593,002409
1594,002411
1595,002440
1596,002442
1597,002450
1598,002453
1599,002455
1600,002466
1601,002476
1602,002497
1603,002562
1604,002581
1605,002584
1606,002597
1607,002601
1608,002632
1609,002637
1610,002643
1611,002648
1612,002666
1613,002669
1614,002683
1615,002709
1616,002741
1617,002748
1618,300019
1619,300031
1620,300037
1621,300041
1622,300054
1623,300063
1624,300067
1625,300072
1626,300082
1627,300107
1628,300108
1629,300109
1630,300121
1631,300132
1632,300135
1633,300174
1634,300192
1635,300200
1636,300214
1637,300225
1638,300236
1639,300237
1640,300243
1641,300285
1642,300320
1643,300343
1644,300387
1645,300398
1646,300405
1647,300429
1648,300437
1649,300446
1650,600048
1651,600052
1652,600053
1653,600067
1654,600077
1655,600082
1656,600094
1657,600095
1658,600113
1659,600133
1660,600159
1661,600162
1662,600173
1663,600175
1664,600185
1665,600208
1666,600223
1667,600225
1668,600239
1669,600240
1670,600246
1671,600266
1672,600322
1673,600325
1674,600340
1675,600376
1676,600383
1677,600393
1678,600463
1679,600503
1680,600510
1681,600533
1682,600565
1683,600568
1684,600606
1685,600615
1686,600621
1687,600638
1688,600641
1689,600657
1690,600663
1691,600665
1692,600675
1693,600683
1694,600684
1695,600696
1696,600716
1697,600724
1698,600732
1699,600733
1700,600743
1701,600745
1702,600748
1703,600767
1704,600773
1705,600791
1706,600807
1707,600823
1708,600862
1709,600890
1710,601588
1711,000002
1712,000005
1713,000006
1714,000009
1715,000011
1716,000014
1717,000024
1718,000029
1719,000031
1720,000036
1721,000038
1722,000040
1723,000042
1724,000043
1725,000046
1726,000056
1727,000402
1728,000502
1729,000505
1730,000506
1731,000514
1732,000517
1733,000526
1734,000534
1735,000537
1736,000540
1737,000558
1738,000567
1739,000573
1740,000608
1741,000609
1742,000616
1743,000620
1744,000631
1745,000656
1746,000667
1747,000668
1748,000671
1749,000691
1750,000718
1751,000732
1752,000736
1753,000797
1754,000809
1755,000838
1756,000861
1757,000863
1758,000897
1759,000918
1760,000926
1761,000931
1762,000965
1763,000979
1764,000981
1765,002016
1766,002077
1767,002133
1768,002146
1769,002208
1770,002244
1771,002285
1772,002305
1773,600000
1774,600015
1775,600016
1776,600030
1777,600036
1778,600109
1779,600291
1780,600369
1781,600643
1782,600705
1783,600816
1784,600830
1785,600837
1786,600958
1787,600999
1788,601009
1789,601099
1790,601166
1791,601169
1792,601198
1793,601288
1794,601318
1795,601328
1796,601336
1797,601377
1798,601398
1799,601555
1800,601601
1801,601628
1802,601688
1803,601788
1804,601818
1805,601901
1806,601939
1807,601988
1808,601998
1809,000001
1810,000166
1811,000415
1812,000563
1813,000686
1814,000712
1815,000728
1816,000750
1817,000776
1818,000783
1819,002142
1820,002500
1821,002673
1822,002736
1823,000511
1824,000795
1825,002088
1826,002297
1827,002753
1828,002755
1829,002756
1830,002757
1831,002758
1832,002759
1833,200011
1834,200012
1835,200016
1836,200017
1837,200018
1838,200019
1839,200020
1840,200022
1841,200024
1842,200025
1843,200026
1844,200028
1845,200029
1846,200030
1847,200037
1848,200045
1849,200053
1850,200054
1851,200055
1852,200056
1853,200058
1854,200152
1855,200160
1856,200168
1857,200413
1858,200418
1859,200429
1860,200468
1861,200488
1862,200505
1863,200512
1864,200521
1865,200530
1866,200539
1867,200541
1868,200550
1869,200553
1870,200570
1871,200581
1872,200596
1873,200613
1874,200625
1875,200706
1876,200725
1877,200726
1878,200761
1879,200771
1880,200869
1881,200986
1882,200992
1883,300064
1884,300073
1885,300179
1886,300450
1887,300451
1888,300452
1889,300453
1890,300455
1891,300456
1892,300457
1893,300458
1894,300459
1895,300460
1896,300461
1897,300462
1898,300463
1899,300465
1900,300466
1901,300467
1902,300468
1903,600007
1904,600064
1905,600215
1906,600604
1907,600639
1908,600648
1909,600658
1910,600736
1911,600895
1912,000628
1913,600050
1914,600074
1915,600076
1916,600100
1917,600105
1918,600130
1919,600198
1920,600271
1921,600288
1922,600289
1923,600330
1924,600345
1925,600406
1926,600410
1927,600446
1928,600455
1929,600476
1930,600485
1931,600487
1932,600498
1933,600522
1934,600536
1935,600556
1936,600562
1937,600570
1938,600571
1939,600588
1940,600601
1941,600608
1942,600654
1943,600677
1944,600680
1945,600718
1946,600728
1947,600734
1948,600756
1949,600764
1950,600775
1951,600776
1952,600797
1953,600804
1954,600845
1955,600850
1956,600990
1957,601519
1958,603000
1959,603019
1960,603025
1961,603636
1962,000021
1963,000032
1964,000035
1965,000063
1966,000066
1967,000070
1968,000503
1969,000532
1970,000547
1971,000555
1972,000561
1973,000586
1974,000681
1975,000711
1976,000748
1977,000801
1978,000836
1979,000851
1980,000892
1981,000938
1982,000948
1983,000970
1984,000977
1985,000997
1986,002017
1987,002027
1988,002052
1989,002063
1990,002065
1991,002073
1992,002089
1993,002090
1994,002093
1995,002095
1996,002115
1997,002148
1998,002151
1999,002152
2000,002153
2001,002161
2002,002174
2003,002177
2004,002180
2005,002184
2006,002194
2007,002195
2008,002230
2009,002231
2010,002232
2011,002253
2012,002261
2013,002268
2014,002279
2015,002280
2016,002281
2017,002296
2018,002308
2019,002312
2020,002313
2021,002315
2022,002316
2023,002331
2024,002351
2025,002354
2026,002362
2027,002368
2028,002369
2029,002373
2030,002376
2031,002383
2032,002384
2033,002396
2034,002401
2035,002405
2036,002410
2037,002417
2038,002421
2039,002439
2040,002446
2041,002465
2042,002467
2043,002474
2044,002491
2045,002519
2046,002528
2047,002544
2048,002547
2049,002577
2050,002583
2051,002609
2052,002635
2053,002642
2054,002649
2055,002657
2056,300002
2057,300010
2058,300017
2059,300020
2060,300025
2061,300028
2062,300033
2063,300036
2064,300038
2065,300042
2066,300044
2067,300045
2068,300047
2069,300050
2070,300051
2071,300052
2072,300059
2073,300065
2074,300074
2075,300075
2076,300076
2077,300079
2078,300081
2079,300085
2080,300096
2081,300098
2082,300101
2083,300104
2084,300113
2085,300130
2086,300134
2087,300136
2088,300150
2089,300166
2090,300167
2091,300168
2092,300170
2093,300177
2094,300182
2095,300183
2096,300188
2097,300209
2098,300211
2099,300212
2100,300213
2101,300226
2102,300229
2103,300231
2104,300235
2105,300245
2106,300248
2107,300250
2108,300253
2109,300264
2110,300270
2111,300271
2112,300275
2113,300277
2114,300282
2115,300287
2116,300288
2117,300290
2118,300292
2119,300295
2120,300297
2121,300299
2122,300300
2123,300302
2124,300310
2125,300311
2126,300312
2127,300315
2128,300322
2129,300324
2130,300330
2131,300333
2132,300339
2133,300348
2134,300352
2135,300353
2136,300359
2137,300365
2138,300366
2139,300367
2140,300369
2141,300377
2142,300378
2143,300379
2144,300380
2145,300383
2146,300386
2147,300390
2148,300392
2149,300394
2150,300397
2151,300399
2152,300418
2153,300419
2154,300431
2155,300440
2156,300448
2157,300449
2158,600086
2159,600107
2160,600137
2161,600177
2162,600233
2163,600272
2164,600295
2165,600398
2166,600400
2167,600439
2168,600612
2169,600884
2170,601566
2171,601718
2172,603001
2173,603518
2174,603555
2175,603808
2176,002003
2177,002029
2178,002036
2179,002044
2180,002098
2181,002154
2182,002239
2183,002269
2184,002291
2185,002293
2186,002327
2187,002345
2188,002397
2189,002425
2190,002485
2191,002486
2192,002494
2193,002503
2194,002517
2195,002563
2196,002569
2197,002574
2198,002612
2199,002634
2200,002640
2201,002656
2202,002674
2203,002687
2204,002731
2205,002740
2206,300005
2207,600083
2208,600151
2209,600171
2210,600183
2211,600203
2212,600206
2213,600207
2214,600237
2215,600353
2216,600355
2217,600360
2218,600363
2219,600401
2220,600460
2221,600478
2222,600537
